Date,Open,High,Low,Close,Volume
03/30/22,123.04,125.67,118.59,119.22,99476953
03/29/22,122.28,123.71,119.59,123.23,94143031
03/28/22,117.7,120.41,116.71,120.24,92966148
03/25/22,119.915,121.4,117.2533,119.67,95852383
03/24/22,114.96,120.55,113.71,120.53,121961297
03/23/22,114.29,117.55,112.21,113.92,90579148
03/22/22,115.43,117.95,113.81,114.78,101672602
03/21/22,113.73,117.57,112.54,115.92,101905906
03/18/22,111.28,114.93,110.55,113.46,105834797
03/17/22,112.14,114.27,109.71,111.69,103201695
03/16/22,111.6,115.42,109.89,115.37,113689797
03/15/22,102.66,109.69,101.79,109.33,112425508
03/14/22,102.99,105.2397,101.04,102.25,89731680
03/11/22,108.13,108.19,104.08,104.29,87584430
03/10/22,108.89,109.07,103.07,106.46,102557398
03/09/22,108.41,111.71,106.85,111.05,102310305
03/08/22,102.81,109.9,100.08,105.53,135348297
03/07/22,108.53,109.53,102.82,102.95,92599969
03/04/22,112,113,106.81,108.41,100671297
03/03/22,118.13,118.26,111.05,111.98,123916703
03/02/22,115.47,119.48,113.31,118.28,118354492
03/01/22,122.33,122.43,112.8,113.83,126552203
02/28/22,120.31,124.61,119.2,123.34,124666094
02/25/22,117.16,121.23,116.0421,121.06,127821000
02/24/22,104.56,116.96,104.26,116.61,142956609
02/23/22,117.4,118.65,109.04,109.76,120299398
02/22/22,115.27,119.2,113.61,115.65,141648500
02/18/22,113.9,115.635,109.89,113.83,114321203
02/17/22,116.26,116.98,112.26,112.37,98179641
02/16/22,119.05,119.54,114.22,117.69,119109602
02/15/22,117.19,121.88,114.36,121.47,144139703
02/14/22,115.51,118.37,113.46,114.27,135146406
02/11/22,126.14,127.1699,111.81,113.18,164723203
02/10/22,128.84,131.7589,124.61,125.77,108939906
02/09/22,129.6,132.96,127.65,132.85,92948867
02/08/22,122.38,128.705,122.05,128.23,84902750
02/07/22,123.56,127.63,122.785,123.67,81672492
02/04/22,120.34,124.96,118.58,123.6,86212008
02/03/22,120.32,125.37,118.816,120.08,103599508
02/02/22,129.89,130.06,120.64,122.76,180064984
02/01/22,116.75,117.26,112.73,116.78,122467906
01/31/22,107.93,114.31,106.9,114.25,97205992
01/28/22,101.55,105.4,99.35,105.24,98749523
01/27/22,111.96,112.75,101.94,102.6,125954094
01/26/22,114.55,117.16,108.63,110.71,94752609
01/25/22,114.1,114.82,109.86,111.13,85102914
01/24/22,115.4,116.77,107.5,116.53,116301797
01/21/22,120.14,125.02,118.39,118.81,95685273
01/20/22,126.04,128.51,121.41,121.89,91157289
01/19/22,133.55,134.57,128.02,128.27,69831852
01/18/22,134.5,136.3893,131.59,131.93,56589461
01/14/22,131.68,137,131.43,136.88,71078438
01/13/22,139.44,141.25,131.81,132.74,76618062
01/12/22,138.585,140.57,135.77,137.47,69669602
01/11/22,133.45,138.99,131.59,137.31,77153914
01/10/22,129.08,132.42,125.03,132,84671344
01/07/22,136.28,137.44,131.13,132,58441102
01/06/22,136.19,138,131.77,136.23,64802941
01/05/22,142.815,143.76,135.29,136.15,65403168
01/04/22,151.01,152.42,140.7,144.42,80200461
01/03/22,145.135,151.65,145.02,150.24,59477672
12/31/21,146.16,148.61,143.55,143.9,49448141
12/30/21,147.44,148.85,144.85,145.15,44358000
12/29/21,152.82,154.3399,147.29,148.26,51300207
12/28/21,155.88,156.73,151.38,153.15,58699070
12/27/21,147.51,154.89,147.25,154.36,53296379
12/23/21,143.89,149.018,143.85,146.14,48653793
12/22/21,142.65,144.5,140.27,143.88,46923680
12/21/21,138.185,144.5,135.15,144.25,57785238
12/20/21,135.97,138.26,133.52,135.8,38195398
12/17/21,136.3,142.04,136.11,137.75,55692281
12/16/21,147,147.93,137.02,138.64,63369551
12/15/21,135.11,146.69,133.81,146.5,72425773
12/14/21,131.67,137.24,130.6,135.6,50754641
12/13/21,138.25,139.4,133.415,133.8,42173961
12/10/21,141.29,141.365,135.82,138.55,42224281
12/09/21,145.16,146.69,137.8,138.1,53019930
12/08/21,144.96,147.04,142.7,145.24,40977480
12/07/21,143.9,145.76,141.0001,144.85,53359434
12/06/21,141.135,141.31,134.2,139.06,66776484
12/03/21,151.645,152.38,140.72,144.01,65910031
12/02/21,147.675,152.53,146.47,150.68,56161219
12/01/21,160.37,160.88,148.92,149.11,64185121
11/30/21,163.28,164.4599,155.6801,158.37,75182555
11/29/21,157.5,162.505,156.1,161.91,57438871
11/26/21,155.8,158.1,152.81,154.81,36245070
11/24/21,149.46,157.93,147.19,157.8,60677059
11/23/21,150.41,152.66,145.2996,149.92,62852711
11/22/21,157.14,161.8799,152.39,152.52,58674078
11/19/21,155.76,156.92,153.445,155.41,41668859
11/18/21,157.07,158.89,152.56,155.02,60612727
11/17/21,151.98,154.6599,149.69,151.34,54527480
11/16/21,145.93,153.08,145.34,152.45,53100809
11/15/21,148,148.98,142.86,146.49,52271273
11/12/21,146.025,148.59,144.25,147.89,52162141
11/11/21,142.955,146.47,140.84,146.01,67934852
11/10/21,143.93,146.3,138.52,139.87,82989148
11/09/21,154.01,155.65,143.89,148.92,98442602
11/08/21,137.7,153.6,137.7,150.16,141493797
11/05/21,139.185,141.22,134.42,136.34,64920602
11/04/21,132.01,139,130.77,137.5,84825156
11/03/21,127.75,130.6,126.7901,130.53,59537820
11/02/21,124.98,128.455,124.2,127.63,53491941
11/01/21,119.45,125.67,118.1301,125.23,54559781
10/29/21,120.95,122.57,119.88,120.23,43320129
10/28/21,122.855,123.5,120.26,121.16,58002461
10/27/21,121.63,128.08,121.05,122.28,98245320
10/26/21,122.99,127.2,122.5782,122.93,59458930
10/25/21,120.515,123.4599,118.6,122.36,47834121
10/22/21,120.825,121.56,118.37,119.82,38992688
10/21/21,116.5,119.68,116.26,119.33,34794953
10/20/21,116.29,118.3001,115.421,116.39,34244809
10/19/21,116.16,117.17,114.47,116.33,39593941
10/18/21,111.9,116.88,111.37,116.43,47537762
10/15/21,112.505,112.835,111.11,112.12,34203008
10/14/21,110.5,112.22,109.6301,111.99,46900160
10/13/21,106.275,109.88,106.25,109.16,55631922
10/12/21,105.165,106.04,104.34,105.04,34039910
10/11/21,104.62,107.2,104.022,104.68,31284391
10/08/21,106.55,107.28,104.89,105.06,30623051
10/07/21,104.6,107.95,104.46,106.45,41543113
10/06/21,100.445,103.72,100.35,103.64,39071699
10/05/21,100.92,102.8699,100.6101,101.81,31455250
10/04/21,101.742,101.85,99.82,100.34,41967152
10/01/21,102.6,103,100.64,102.45,41491594
09/30/21,102.08,104.44,101.99,102.9,57636699
09/29/21,102.295,102.66,99.81,100.35,52224719
09/28/21,106.835,107.65,101.42,101.52,74468969
09/27/21,105.065,108.44,103.44,108.16,51944352
09/24/21,105.185,106.0499,104.68,105.8,26482609
09/23/21,104.89,106.86,103.89,106.15,32816660
09/22/21,102.815,104.56,102.21,104.38,34126281
09/21/21,102.15,103.4299,101.18,102.82,35481500
09/20/21,101.58,102.51,99.51,101.55,45228406
09/17/21,105.555,105.98,103.71,103.88,44528340
09/16/21,104.915,106.75,103.76,106.22,38150273
09/15/21,106,106.32,104.03,105.6,37998941
09/14/21,105.52,106.82,104.42,105.73,40629527
09/13/21,105.26,105.28,102.63,104.8,37767793
09/10/21,106.99,106.9913,104.98,105.2,32602289
09/09/21,106.56,107.2953,105.84,106.15,31857869
09/08/21,108.88,109.3,105.52,106.17,43067910
09/07/21,109.955,110.58,108.66,109.15,28815230
09/03/21,108.85,111.17,108.5,109.92,42623781
09/02/21,110.32,110.88,108.77,109.2,40108762
09/01/21,111.3,111.85,109.85,109.99,38579559
08/31/21,111.26,111.26,109.0343,110.72,49338961
08/30/21,112.61,114.4899,111.26,111.32,56130473
08/27/21,108.01,111.78,107.8,111.4,61030008
08/26/21,108.57,109.2299,106.84,107.27,51442551
08/25/21,108.13,109.91,107.45,108.3,45485500
08/24/21,109.45,109.61,107.28,107.65,51239301
08/23/21,105.295,109.02,104.86,108.77,68835281
08/20/21,104.32,105.98,103.99,104.65,55227559
08/19/21,103.315,106.18,101.975,103.7,71117484
08/18/21,107.35,108.07,103.27,103.44,79387938
08/17/21,106.644,108.7,105.35,107.56,74053914
08/16/21,110.2,111.58,105.865,107.48,73398945
08/13/21,107.17,111.71,106.57,110.55,100135695
08/12/21,107.39,108.44,105.86,106.5,60625727
08/11/21,107.6,109.79,105.62,107.68,91788289
08/10/21,107.895,109.17,104.36,106.48,113012305
08/09/21,111.31,112.33,107.06,107.58,115749906
08/06/21,110.55,116.2599,109.7,110.11,143899016
08/05/21,116.63,117.68,111.59,112.35,137860891
08/04/21,114.36,122.49,114.16,118.77,225368703
08/03/21,108.15,114.85,107.66,112.56,157723109
08/02/21,105.93,110.33,103.83,108.63,115581906
07/30/21,101.6,106.97,101.38,106.19,125632000
07/29/21,96.58,105.74,96.58,102.95,164091812
07/28/21,93.44,98.71,89.65,97.93,140560984
07/27/21,92.94,94.1,89.1,91.03,69427023
07/26/21,92.01,92.75,91.12,91.82,27668461
07/23/21,91.348,92.37,90.19,92.15,31708900
07/22/21,89.4,91.36,89.08,91.21,33730078
07/21/21,87.25,89.49,86.9,89.41,29469859
07/20/21,87.09,87.77,85.165,87.11,28088961
07/19/21,84.99,87.2294,84.24,86.58,39244801
07/16/21,87.32,88.03,85.68,85.89,35860738
07/15/21,89.78,89.78,86.1801,86.93,38944738
07/14/21,90.76,91.395,88.94,89.05,28108510
07/13/21,90.48,91.41,89.8299,90.26,30367600
07/12/21,91.22,91.9,89.65,90.81,28526561
07/09/21,90.04,91.26,88.53,90.9,35278422
07/08/21,87.86,90.3399,87.45,89.74,45673449
07/07/21,95.02,95.44,90.31,90.54,51498480
07/06/21,94.875,95.41,93.32,94.47,44930121
07/02/21,93.28,95.27,92.205,94.7,51342980
07/01/21,94.04,94.175,91.7,93.31,58059020
06/30/21,90.82,94.335,90.6,93.93,70721531
06/29/21,87.41,90.3,86.66,89.52,46181000
06/28/21,86.38,88,86.15,87.08,30262039
06/25/21,86.34,86.36,85.1,85.62,27804539
06/24/21,84.39,87.1399,84.365,86.1,42217672
06/23/21,83.83,84.485,83.1603,83.82,25992439
06/22/21,82.9,84.04,82.48,83.58,32107699
06/21/21,83.49,84.19,82.21,82.59,44417113
06/18/21,84.28,85.77,83.48,84.65,58736809
06/17/21,80.77,85.37,80.57,84.56,77822812
06/16/21,80.75,81.45,78.96,80.11,29598311
06/15/21,81.59,81.68,80.225,80.47,26194340
06/14/21,81.51,81.55,80.2,81.55,27830240
06/11/21,81.61,82.33,80.7,81.31,24310891
06/10/21,80.02,81.71,79.7,81.56,28606359
06/09/21,81.09,81.677,79.8,79.96,28454650
06/08/21,81.87,82.645,80.45,80.89,26956631
06/07/21,81.4,81.68,80.38,81.35,29006779
06/04/21,80.92,82.19,80.81,81.58,26387801
06/03/21,81.13,81.89,80.26,80.28,29811971
06/02/21,81,82.6,80.66,81.97,35203219
06/01/21,81.01,82.91,80.66,80.81,43433039
05/28/21,78.66,81.09,78.66,80.08,40952660
05/27/21,78.11,78.43,77.47,78.42,35883219
05/26/21,77.83,78.59,77.59,78.34,30354000
05/25/21,77.33,78.77,76.8365,77.86,47353102
05/24/21,77.26,78.01,76.8,77.44,33194289
05/21/21,78.55,78.81,77.04,77.17,40201090
05/20/21,76.81,78.27,76.25,78.06,49135008
05/19/21,73.16,76.97,72.76,76.23,73966156
05/18/21,74.74,75.7699,74.24,74.44,31982480
05/17/21,74.215,75.52,73.41,74.65,40722379
05/14/21,74.02,75.0274,72.72,74.59,38355793
05/13/21,75.21,75.7,72.5,73.09,48646754
05/12/21,75.09,76.13,74.16,74.64,42531422
05/11/21,73.57,76.93,72.75,76.83,51008238
05/10/21,78.2,78.3,75.92,75.99,45134488
05/07/21,78.75,79.5718,78.22,78.81,36954180
05/06/21,77.63,78.0599,76.47,77.89,38661328
05/05/21,79.05,79.3,77.36,77.83,42310152
05/04/21,77.95,78.67,77.04,78.61,59194328
05/03/21,81.97,82,78.46,78.55,66323273
04/30/21,82.97,84.1,81.415,81.62,46601859
04/29/21,84.7,85.27,82.63,83.91,51294527
04/28/21,88.85,89.2,83.92,84.02,108920305
04/27/21,85.67,87.15,85.13,85.21,61909871
04/26/21,83.35,85.9,82.7,85.41,57594539
04/23/21,80.21,83.3,79.96,82.76,49267281
04/22/21,81.61,81.79,78.59,79.06,38846047
04/21/21,78.99,81.66,78.86,81.61,35068961
04/20/21,80.82,81.11,78.51,79.27,34977754
04/19/21,82.13,83.18,80.39,81.11,39115461
04/16/21,83.3,83.59,81.53,82.15,47280566
04/15/21,80.32,83.95,79.97,83.01,68942812
04/14/21,79.88,80.13,77.935,78.55,34263832
04/13/21,79.67,80.72,78.98,80.19,37767262
04/12/21,82.055,82.18,78.03,78.58,62098801
04/09/21,82.8,83.59,82.16,82.76,32759869
04/08/21,83.32,83.79,82.435,83.35,41925281
04/07/21,81.32,83.1,80.35,82.2,35590930
04/06/21,81.21,82.455,80.88,81.44,29327949
04/05/21,81.74,81.9,80.39,81.43,32610551
04/01/21,80.155,81.31,79.48,81.09,40182379
03/31/21,76.57,79.13,76.52,78.5,43659461
03/30/21,76.47,76.56,74.85,76,39169246
03/29/21,77.03,78.02,76.26,77.14,37144301
03/26/21,76.62,77.4995,75.03,77.41,49148660
03/25/21,75.85,76.95,74.96,76.22,44735102
03/24/21,77.55,78.8,76.4,76.48,43753641
03/23/21,80.13,80.34,77.95,78.38,40466641
03/22/21,79.99,81.265,79.22,80.3,39648609
03/19/21,78.49,79.34,77.59,79.06,42283391
03/18/21,81.055,81.62,78.01,78.12,51036500
03/17/21,81.75,83.25,80.411,82.63,43320566
03/16/21,83.66,84.75,82.255,82.75,42971551
03/15/21,81.91,83.39,81.2,82.5,39365422
03/12/21,79.73,81.19,79.23,81.05,32937949
03/11/21,79.4,81.89,79.37,81.23,43583719
03/10/21,79.75,80.04,77.41,77.52,45416621
03/09/21,76.73,79.215,75.77,78.53,45088340
03/08/21,78.03,79,73.86,73.96,54563871
03/05/21,79,79.48,74.2,78.52,58548910
03/04/21,80.23,81.8067,76.78,77.75,60549367
03/03/21,84.28,84.38,80.85,80.86,43541039
03/02/21,86.92,86.95,84.04,84.13,34828160
03/01/21,85.365,86.5,83.97,86.39,32746180
02/26/21,83.565,85.59,82.91,84.51,48962910
02/25/21,86.17,87.09,81.92,82.42,54625141
02/24/21,84.33,87.09,82.81,86.94,40821152
02/23/21,83.4,85.11,79.36,84.74,49720910
02/22/21,88.15,88.3,85.21,85.37,36930180
02/19/21,89.75,90.4163,88.69,89.58,29548270
02/18/21,89.09,89.6,87.31,88.64,35624953
02/17/21,90.56,90.96,88.5701,89.94,32284080
02/16/21,93.9,94,90.7499,91.46,35105922
02/12/21,92.75,94.22,91.9,93.77,38538352
02/11/21,92.9,93.65,91.33,92.66,35571031
02/10/21,91.5,93.27,90.46,92.35,42441301
02/09/21,91.39,93.3,90.55,90.91,37596449
02/08/21,88.31,91.99,87.98,91.47,47639887
02/05/21,88.15,88.36,86.875,87.9,30268680
02/04/21,88.22,88.6,87.06,87.84,30791641
02/03/21,88.6,89.48,87.34,87.89,32312891
02/02/21,88.49,89.28,86.95,88.86,33850047
02/01/21,86.83,87.95,84.66,87.66,42359340
01/29/21,87.56,88.33,85.02,85.64,56735832
01/28/21,89.83,89.88,87.3,87.52,47048359
01/27/21,91.1,91.88,86.22,88.84,73341195
01/26/21,94.91,95.7171,93.63,94.71,59449047
01/25/21,94.14,95.74,91.4,94.13,55086941
01/22/21,94.42,95.95,91.88,92.79,71294711
01/21/21,89.34,92.07,88.43,91.53,54596078
01/20/21,90.55,90.78,88.6,88.75,35185809
01/19/21,89.56,89.58,87.24,89.45,45115059
01/15/21,90.75,91.59,87.86,88.21,49340340
01/14/21,91.77,92.36,90.45,90.79,53408238
01/13/21,93.01,93.89,90.84,91.78,60712898
01/12/21,97.86,98.97,94.07,95.355,67672312
01/11/21,94.025,99.23,93.76,97.25,48669102
01/08/21,95.98,96.4,93.27,94.58,39816398
01/07/21,91.33,95.51,91.2,95.16,42897160
01/06/21,91.62,92.28,89.46,90.33,51911660
01/05/21,92.1,93.2077,91.41,92.77,34207992
01/04/21,92.11,96.06,90.915,92.3,51802551
12/31/20,92.1,92.3,90.87,91.71,24930680
12/30/20,90.78,92.85,90.19,92.29,25844971
12/29/20,91.66,92.46,89.4301,90.62,31748211
12/28/20,92.93,93.14,90.82,91.6,30627301
12/24/20,91.8,92.51,91.31,91.81,16705910
12/23/20,93.08,93.13,91.46,91.55,25993350
12/22/20,93.36,93.55,90.53,93.16,35717840
12/21/20,94.25,95.28,91.08,93.23,47093887
12/18/20,97.27,97.68,93.56,95.92,51823102
12/17/20,97.55,97.92,96.25,96.84,32023730
12/16/20,97.04,97.27,95.46,96.85,34909039
12/15/20,95.93,97.98,95.45,97.12,57305102
12/14/20,92.205,95.41,91.85,94.78,48026434
12/11/20,91.54,92.33,90.16,91.65,28368150
12/10/20,89.55,92.09,89.0297,91.66,33804406
12/09/20,92.76,94.7,89.16,89.83,52170379
12/08/20,94.05,94.74,91.9,92.92,33907512
12/07/20,94.95,95,92.97,94.07,39815648
12/04/20,92.58,94.58,90.63,94.04,45570273
12/03/20,94.06,94.7,92.01,92.31,35859719
12/02/20,92.89,96.37,92.5253,93.74,57988820
12/01/20,92.25,93.9,90.78,92.63,58670527
11/30/20,87.33,92.74,86.53,92.66,84482977
11/27/20,87.99,88,86.3598,87.19,22717641
11/25/20,85.76,87.84,85.52,86.71,41349727
11/24/20,85.724,86.11,83.32,85.07,36839168
11/23/20,85.52,87.54,84.615,85.31,46504961
11/20/20,85.28,86.1,84.47,84.64,35008434
11/19/20,82.39,85.64,81.72,85.54,50116762
11/18/20,83.014,83.955,82.22,82.54,29967961
11/17/20,83.93,84.81,82.91,83.36,29473510
11/16/20,81.21,83.78,80.48,83.73,38640840
11/13/20,82.73,83.11,80.7,81.43,30448461
11/12/20,81.32,83,80.3,81.84,37303113
11/11/20,79.39,81.47,78.97,81.28,44611246
11/10/20,81.93,82.13,77.63,77.99,67137203
11/09/20,84.24,87.05,82.77,83.12,58580680
11/06/20,83.52,86.09,82.67,85.88,53829941
11/05/20,83.27,83.5,81.85,83,46542273
11/04/20,80.25,81.85,78.975,81.35,66579711
11/03/20,74.93,77.08,74.6,76.58,41231801
11/02/20,75.85,76.3398,73.7573,74.7,45760660
10/30/20,77.09,77.7,74.23,75.29,51426168
10/29/20,76.75,79.18,76.29,78.02,52784090
10/28/20,78.73,78.96,75.76,76.4,76529914
10/27/20,82,82.37,77.57,78.88,156669500
10/26/20,82.55,84.97,80.86,82.23,69423680
10/23/20,80.93,81.99,79.33,81.96,46557680
10/22/20,79.65,80.82,78.42,79.42,38006801
10/21/20,81.72,81.9299,79.19,79.2,36426406
10/20/20,82.16,82.69,80.58,81.56,38219422
10/19/20,83.62,84.65,81.53,82,36689113
10/16/20,83.54,83.99,82.41,83.17,31474289
10/15/20,83.4,84.7201,82.42,83.13,33696406
10/14/20,85.86,85.96,83.46,84.21,40446738
10/13/20,84.86,86.09,83.9733,85.28,42764102
10/12/20,83.65,85.13,83.12,84.29,47669699
10/09/20,84.74,85.75,82.3465,83.1,80354391
10/08/20,88.11,88.72,85.95,86.51,54240699
10/07/20,86.1,87.79,85.65,86.69,43045719
10/06/20,86.21,87.25,83.54,84.48,52725434
10/05/20,82.55,86.2819,82.55,86.15,47056520
10/02/20,82.58,84.65,81.66,81.8,52855047
10/01/20,83.06,85.25,82.86,84.86,52177121
09/30/20,81.75,82.94,80.66,81.99,51533660
09/29/20,79.3,82.55,79.3,81.77,61633672
09/28/20,79.117,79.57,77.52,79.48,48005488
09/25/20,76.35,78.2,74.67,78.055,48206238
09/24/20,74.54,77.25,73.9,75.82,57540930
09/23/20,77.39,77.91,74.34,74.73,42327512
09/22/20,78.365,78.79,75.27,77.7,56044738
09/21/20,74.23,77.98,73.88,77.94,61311969
09/18/20,77,77.4,73.85,74.93,51082859
09/17/20,74.88,76.625,74.2,76.55,55619102
09/16/20,79.35,79.72,76.54,76.66,38445672
09/15/20,77.66,80.33,75.97,78.93,57874434
09/14/20,76.8,78.82,76.26,77.9,47448680
09/11/20,79.82,79.99,75.04,76.34,54762992
09/10/20,83.07,83.31,78.38,78.98,51499398
09/09/20,81.4,82.44,79.28,81.91,54163879
09/08/20,78.05,81.88,78,78.69,54955672
09/04/20,81.45,84.39,76.33,82.01,82267758
09/03/20,87.84,88.47,81.59,82.54,87462688
09/02/20,94.01,94.28,88.74,90.22,50366922
09/01/20,91.92,92.51,90.1899,92.18,56117102
08/31/20,85.05,92.64,85.05,90.82,90655953
08/28/20,84.3,86.04,84.19,85.55,40723273
08/27/20,86.35,86.58,82.94,83.8,42194219
08/26/20,86.969,87.72,85.2,86.02,47157273
08/25/20,83.36,86.62,82.35,86.35,49234398
08/24/20,84.55,85.33,82.55,83.08,38036070
08/21/20,83.29,84.41,82.23,83.81,48280320
08/20/20,79.74,82.84,79.12,82.77,42948859
08/19/20,81.776,81.85,80.45,81.09,37507391
08/18/20,82.8,82.88,81.03,81.66,30970480
08/17/20,82.09,83.06,81.552,82.42,31450160
08/14/20,81.81,83.24,80.88,81.3,42389480
08/13/20,82.88,84.02,81.54,81.84,57407359
08/12/20,78.43,82.88,77.55,82.61,88607828
08/11/20,80.71,80.71,76.1,76.88,77877664
08/10/20,85.05,85.16,79.3221,82.24,70536141
08/07/20,86.67,87.29,82.6702,84.85,66543156
