Date, Open, High, Low, Close, Volume
03/30/22, 43.44, 43.6499, 42.75, 43.00, 36601762
03/29/22, 44.25, 44.3899, 43.11, 43.44, 46355832
03/28/22, 43.71, 43.75, 42.83, 43.55, 37428602
03/25/22, 43.48, 44.26, 43.33, 43.73, 38968129
03/24/22, 43.38, 43.4325, 42.885, 43.07, 30360801
03/23/22, 43.72, 44.01, 43.03, 43.09, 48539320
03/22/22, 43.82, 44.63, 43.695, 44.18, 52360578
03/21/22, 43.345, 43.43, 42.505, 42.84, 47106352
03/18/22, 42.76, 42.93, 42.26, 42.90, 74470562
03/17/22, 42.41, 43.04, 41.83, 43.03, 50260238
03/16/22, 42.24, 43.045, 41.9203, 42.80, 59477633
03/15/22, 41.26, 41.78, 40.87, 41.50, 41395328
03/14/22, 40.90, 42.18, 40.895, 41.20, 54262359
03/11/22, 41.04, 41.38, 40.29, 40.33, 43946609
03/10/22, 40.29, 41.475, 40.11, 40.67, 48804379
03/09/22, 40.31, 41.605, 40.1585, 41.04, 78207914
03/08/22, 39.07, 39.66, 38.17, 38.59, 76553805
03/07/22, 39.93, 40.11, 38.21, 38.34, 109779000
03/04/22, 41.43, 41.44, 40.32, 40.95, 75615523
03/03/22, 43.09, 43.495, 42.21, 42.49, 48733793
03/02/22, 42.74, 43.535, 42.62, 43.16, 70834633
03/01/22, 43.71, 43.74, 41.93, 42.47, 74895594
02/28/22, 43.72, 44.26, 43.4394, 44.20, 69955297
02/25/22, 43.81, 45.35, 43.63, 45.02, 68530688
02/24/22, 43.00, 43.675, 42.05, 43.60, 80484789
02/23/22, 45.95, 46.1099, 44.57, 44.78, 45704871
02/22/22, 45.17, 45.98, 45.04, 45.56, 51905578
02/18/22, 46.07, 46.535, 45.72, 45.96, 37856551
02/17/22, 47.00, 47.2911, 45.95, 46.07, 49442406
02/16/22, 47.44, 48.24, 47.31, 47.68, 36664602
02/15/22, 48.00, 48.37, 47.57, 47.79, 42402238
02/14/22, 48.02, 48.185, 46.9406, 47.42, 44791953
02/11/22, 48.63, 49.44, 47.50, 47.92, 61056047
02/10/22, 49.68, 50.11, 48.76, 49.05, 47082840
02/09/22, 49.215, 49.79, 49.03, 49.28, 33861090
02/08/22, 49.15, 50.02, 48.94, 49.38, 49560539
02/07/22, 48.56, 48.76, 47.985, 48.51, 44824809
02/04/22, 47.08, 48.69, 46.68, 48.28, 60297059
02/03/22, 47.22, 47.29, 46.35, 46.43, 35879930
02/02/22, 46.72, 46.96, 46.301, 46.89, 41125578
02/01/22, 46.205, 47.10, 45.90, 46.94, 40326641
01/31/22, 45.52, 46.27, 45.22, 46.14, 44793660
01/28/22, 45.325, 45.89, 44.45, 45.87, 51048301
01/27/22, 46.37, 46.75, 45.09, 45.47, 63402379
01/26/22, 45.775, 46.46, 45.26, 45.90, 63735820
01/25/22, 44.29, 45.57, 43.83, 45.43, 73555344
01/24/22, 43.90, 44.69, 42.5876, 44.55, 90782211
01/21/22, 45.57, 46.0166, 44.66, 44.92, 71303562
01/20/22, 46.69, 47.05, 45.66, 45.75, 46265262
01/19/22, 48.39, 48.58, 46.3512, 46.44, 84451789
01/18/22, 47.85, 47.92, 46.05, 46.26, 65935008
01/14/22, 47.52, 48.23, 47.19, 47.91, 72953328
01/13/22, 48.92, 49.49, 48.63, 48.76, 46337480
01/12/22, 49.165, 49.38, 48.68, 48.86, 41377992
01/11/22, 48.99, 49.25, 48.64, 49.21, 40454359
01/10/22, 49.91, 50.08, 48.34, 48.93, 66839469
01/07/22, 48.15, 49.31, 48.06, 49.18, 59082559
01/06/22, 47.98, 48.1587, 47.19, 48.13, 52040848
01/05/22, 48.14, 48.37, 47.16, 47.18, 57791633
01/04/22, 47.06, 48.43, 47.04, 47.99, 74606672
01/03/22, 45.09, 46.49, 44.98, 46.18, 58630070
12/31/21, 44.52, 44.72, 44.28, 44.49, 24253939
12/30/21, 44.75, 45.095, 44.48, 44.53, 23852170
12/29/21, 44.85, 45.12, 44.60, 44.63, 25294900
12/28/21, 44.47, 45.08, 44.423, 44.70, 32499240
12/27/21, 44.55, 44.82, 44.31, 44.64, 33888219
12/23/21, 44.68, 45.065, 44.40, 44.42, 34053480
12/22/21, 44.08, 44.5756, 43.88, 44.28, 35715711
12/21/21, 43.54, 44.48, 43.54, 44.19, 47845609
12/20/21, 43.27, 43.36, 42.70, 43.16, 56455219
12/17/21, 44.50, 44.699, 43.62, 43.88, 124712203
12/16/21, 44.70, 45.359, 44.09, 45.00, 69487172
12/15/21, 44.37, 44.45, 43.62, 43.94, 60057121
12/14/21, 43.59, 44.82, 43.53, 44.13, 47099406
12/13/21, 44.27, 44.40, 43.39, 43.58, 38653898
12/10/21, 44.71, 44.83, 44.07, 44.52, 37700191
12/09/21, 43.91, 44.73, 43.645, 44.49, 37316660
12/08/21, 44.68, 44.80, 44.09, 44.16, 50560328
12/07/21, 44.56, 44.91, 44.43, 44.71, 40740781
12/06/21, 44.56, 44.875, 43.96, 44.15, 48193059
12/03/21, 45.00, 45.07, 43.60, 43.87, 74605312
12/02/21, 44.33, 45.50, 44.00, 44.89, 57821434
12/01/21, 45.22, 45.70, 43.81, 43.84, 60636840
11/30/21, 44.76, 45.22, 44.36, 44.47, 77193562
11/29/21, 46.42, 46.70, 45.17, 45.59, 50231121
11/26/21, 45.52, 46.035, 44.75, 45.76, 55110129
11/24/21, 47.42, 47.98, 47.21, 47.63, 40059953
11/23/21, 46.87, 47.65, 46.67, 47.50, 49362879
11/22/21, 46.72, 46.865, 45.91, 46.28, 53697129
11/19/21, 45.702, 45.77, 44.83, 45.40, 48429480
11/18/21, 46.71, 46.81, 46.2101, 46.32, 30644330
11/17/21, 47.08, 47.20, 46.45, 46.51, 32963711
11/16/21, 47.18, 47.28, 46.69, 47.08, 35120793
11/15/21, 47.26, 47.39, 46.90, 47.05, 35335512
11/12/21, 47.51, 47.53, 46.76, 46.91, 44268512
11/11/21, 47.31, 47.89, 47.01, 47.49, 31194770
11/10/21, 46.75, 47.52, 46.65, 47.23, 39385609
11/09/21, 46.65, 47.36, 46.41, 46.88, 36900262
11/08/21, 47.35, 47.80, 47.2505, 47.34, 33815461
11/05/21, 47.60, 47.82, 46.82, 46.97, 38271180
11/04/21, 48.15, 48.15, 46.88, 47.33, 47646281
11/03/21, 47.80, 48.69, 47.61, 48.37, 42552969
11/02/21, 47.57, 48.42, 47.35, 47.88, 36283359
11/01/21, 48.10, 48.17, 47.28, 47.85, 36937168
10/29/21, 47.75, 48.13, 47.52, 47.78, 31756199
10/28/21, 47.59, 48.00, 47.30, 47.78, 37209566
10/27/21, 47.48, 48.1693, 47.025, 47.04, 45790793
10/26/21, 47.66, 48.425, 47.44, 47.96, 35674754
10/25/21, 47.80, 47.98, 47.20, 47.51, 31679520
10/22/21, 46.99, 47.615, 46.99, 47.57, 36225602
10/21/21, 47.10, 47.48, 46.61, 46.83, 36848578
10/20/21, 46.49, 47.24, 46.05, 47.09, 40410992
10/19/21, 46.50, 46.625, 46.20, 46.48, 32515490
10/18/21, 46.29, 46.89, 46.0301, 46.28, 49542473
10/15/21, 45.77, 46.67, 45.36, 46.37, 64264898
10/14/21, 44.37, 45.10, 43.48, 45.07, 82201008
10/13/21, 43.55, 43.635, 42.33, 43.14, 43907980
10/12/21, 43.67, 44.00, 43.27, 43.54, 36898281
