Date, Open, High, Low, Close, Volume
03/30/22, 2849.20, 2854.406, 2832.00, 2838.77, 994238
03/29/22, 2852.95, 2875.87, 2840.765, 2850.11, 1715851
03/28/22, 2818.01, 2840.05, 2796.225, 2829.11, 1752463
03/25/22, 2838.32, 2840.70, 2794.75, 2833.46, 1207154
03/24/22, 2784.00, 2832.375, 2755.01, 2831.44, 1319828
03/23/22, 2774.05, 2791.77, 2756.70, 2765.51, 1257670
03/22/22, 2722.03, 2821.00, 2722.03, 2797.36, 1774777
03/21/22, 2723.27, 2741.00, 2681.845, 2722.03, 1341584
03/18/22, 2668.49, 2724.88, 2645.165, 2722.51, 2228345
03/17/22, 2662.98, 2681.608, 2643.70, 2676.78, 1413196
03/16/22, 2614.66, 2666.66, 2574.69, 2665.61, 1778849
03/15/22, 2539.52, 2597.09, 2514.41, 2583.96, 1545976
03/14/22, 2605.00, 2608.18, 2505.50, 2519.02, 1940563
03/11/22, 2669.77, 2675.91, 2592.63, 2597.41, 1576322
03/10/22, 2625.32, 2665.435, 2618.25, 2648.59, 1355070
03/09/22, 2625.00, 2674.71, 2598.01, 2668.40, 1851270
03/08/22, 2525.00, 2625.00, 2513.494, 2542.09, 2021355
03/07/22, 2629.76, 2634.70, 2525.90, 2527.57, 2255647
03/04/22, 2658.55, 2677.03, 2606.75, 2638.13, 1522532
03/03/22, 2720.20, 2728.79, 2660.51, 2677.99, 1230162
03/02/22, 2692.56, 2705.25, 2661.431, 2691.43, 1175990
03/01/22, 2697.57, 2725.11, 2664.37, 2681.23, 1324768
02/28/22, 2661.00, 2715.03, 2651.845, 2701.14, 1943221
02/25/22, 2671.04, 2705.43, 2635.03, 2689.19, 1820299
02/24/22, 2499.065, 2660.00, 2499.065, 2653.82, 2722754
02/23/22, 2632.97, 2641.02, 2550.55, 2551.76, 1639301
02/22/22, 2596.762, 2643.605, 2564.465, 2596.27, 2249537
02/18/22, 2669.34, 2681.40, 2603.93, 2608.06, 2280972
02/17/22, 2724.86, 2742.27, 2649.57, 2650.78, 1947475
02/16/22, 2732.93, 2761.72, 2698.475, 2754.76, 1251065
02/15/22, 2751.41, 2762.17, 2716.43, 2732.17, 1335563
02/14/22, 2665.13, 2726.00, 2665.13, 2710.52, 1715054
02/11/22, 2772.00, 2783.125, 2668.00, 2685.65, 1997917
02/10/22, 2794.07, 2829.69, 2759.14, 2772.40, 1966533
02/09/22, 2819.27, 2850.485, 2803.74, 2831.84, 2007194
02/08/22, 2780.53, 2800.00, 2740.277, 2787.98, 2714180
02/07/22, 2885.00, 2885.00, 2778.00, 2784.02, 2748665
02/04/22, 2868.893, 2897.50, 2810.30, 2865.86, 2899911
02/03/22, 2914.11, 2993.50, 2853.306, 2861.80, 3575861
02/02/22, 3025.00, 3030.931, 2910.45, 2960.00, 6159961
02/01/22, 2751.89, 2755.855, 2687.37, 2752.88, 3432182
01/31/22, 2683.24, 2709.46, 2644.19, 2706.07, 1999300
01/28/22, 2593.18, 2667.13, 2569.70, 2667.02, 1718074
01/27/22, 2626.08, 2653.045, 2578.646, 2580.10, 1600939
01/26/22, 2622.38, 2660.00, 2542.84, 2584.66, 2456475
01/25/22, 2574.80, 2587.98, 2530.01, 2538.70, 2348028
01/24/22, 2519.56, 2624.06, 2490.00, 2616.08, 3834712
01/21/22, 2651.87, 2697.311, 2601.73, 2607.03, 2782571
01/20/22, 2725.00, 2752.52, 2659.293, 2666.15, 1495357
01/19/22, 2730.47, 2759.19, 2700.31, 2702.33, 1432382
01/18/22, 2723.50, 2742.63, 2708.765, 2719.96, 1744405
01/14/22, 2741.58, 2814.84, 2739.97, 2789.61, 1483064
01/13/22, 2830.80, 2857.00, 2768.18, 2771.74, 1571830
01/12/22, 2823.00, 2852.155, 2813.89, 2828.61, 1305602
01/11/22, 2760.14, 2804.32, 2733.845, 2794.72, 1436485
01/10/22, 2701.56, 2776.39, 2663.29, 2773.39, 2220406
01/07/22, 2762.91, 2768.97, 2715.33, 2740.34, 1488028
01/06/22, 2739.97, 2798.80, 2731.17, 2754.95, 1867371
01/05/22, 2888.40, 2889.988, 2753.76, 2755.50, 2730914
01/04/22, 2907.92, 2929.698, 2874.325, 2887.99, 1419972
01/03/22, 2901.10, 2917.02, 2874.255, 2899.83, 1433947
12/31/21, 2921.00, 2933.97, 2897.04, 2897.04, 906759
12/30/21, 2933.88, 2946.00, 2919.89, 2924.01, 784386
12/29/21, 2932.886, 2948.34, 2912.95, 2933.10, 889373
12/28/21, 2964.72, 2965.98, 2921.086, 2933.74, 912715
12/27/21, 2945.12, 2966.88, 2943.385, 2958.13, 799223
12/23/21, 2930.00, 2964.87, 2929.04, 2938.33, 1319172
12/22/21, 2861.35, 2930.00, 2861.35, 2928.30, 1316119
12/21/21, 2841.07, 2877.38, 2810.05, 2869.45, 1437768
12/20/21, 2800.00, 2835.49, 2786.42, 2832.14, 1359618
12/17/21, 2850.00, 2876.69, 2826.00, 2834.50, 2550894
12/16/21, 2943.41, 2953.535, 2872.14, 2888.90, 1682519
12/15/21, 2868.18, 2934.42, 2833.558, 2928.82, 1818523
12/14/21, 2879.36, 2889.60, 2824.295, 2878.14, 1922312
12/13/21, 2955.63, 2959.40, 2910.35, 2916.53, 1353470
12/10/21, 2974.00, 2979.55, 2934.075, 2960.03, 1223138
12/09/21, 2951.82, 2982.00, 2942.30, 2952.77, 1163486
12/08/21, 2951.93, 2967.86, 2928.12, 2963.73, 1213516
12/07/21, 2911.93, 2950.623, 2904.55, 2945.39, 1612015
12/06/21, 2860.81, 2877.05, 2803.00, 2863.10, 1530905
12/03/21, 2873.62, 2888.00, 2806.02, 2840.03, 2061508
12/02/21, 2825.00, 2877.29, 2804.29, 2859.32, 1459742
12/01/21, 2880.00, 2919.005, 2818.24, 2821.03, 1702762
11/30/21, 2900.17, 2920.00, 2832.03, 2837.95, 2103361
11/29/21, 2880.00, 2925.95, 2877.87, 2910.61, 1629752
11/26/21, 2886.97, 2891.15, 2836.85, 2843.66, 1523462
11/24/21, 2909.47, 2924.985, 2887.46, 2922.40, 902007
11/23/21, 2923.06, 2933.20, 2882.30, 2915.64, 1361558
11/22/21, 2986.65, 2996.59, 2922.95, 2926.04, 1531460
11/19/21, 2999.509, 3019.33, 2977.98, 2978.53, 1684969
11/18/21, 2964.83, 3011.61, 2957.69, 2996.77, 1781411
11/17/21, 2960.55, 2971.19, 2944.80, 2960.94, 979975
11/16/21, 2962.99, 2975.25, 2946.25, 2957.52, 945200
11/15/21, 2978.01, 2990.99, 2951.50, 2969.04, 1175352
11/12/21, 2932.31, 2977.00, 2908.22, 2973.56, 1118000
11/11/21, 2929.79, 2950.71, 2912.01, 2915.33, 825874
11/10/21, 2950.00, 2961.40, 2890.75, 2917.87, 1498490
11/09/21, 2984.66, 2996.69, 2944.895, 2978.37, 976487
11/08/21, 2996.50, 3012.295, 2968.61, 2980.62, 1152625
11/05/21, 2983.39, 3006.55, 2963.94, 2977.04, 1917737
11/04/21, 2942.49, 2994.67, 2926.16, 2965.35, 1920563
11/03/21, 2918.01, 2933.38, 2891.82, 2931.96, 1374662
11/02/21, 2891.59, 2932.18, 2886.71, 2908.65, 1674112
11/01/21, 2960.92, 2960.92, 2864.51, 2869.94, 2346162
10/29/21, 2901.56, 2964.84, 2892.99, 2960.92, 2166015
10/28/21, 2942.69, 2943.16, 2892.535, 2916.98, 1810319
10/27/21, 2788.10, 2973.00, 2788.10, 2924.35, 4289070
10/26/21, 2785.27, 2801.659, 2766.09, 2786.17, 2461751
10/25/21, 2751.00, 2760.00, 2708.48, 2748.94, 1720613
10/22/21, 2783.00, 2811.655, 2721.12, 2751.33, 2529448
10/21/21, 2835.38, 2843.12, 2810.00, 2837.72, 1314613
10/20/21, 2866.76, 2870.922, 2827.53, 2835.38, 1164403
10/19/21, 2867.75, 2873.25, 2852.00, 2864.74, 1008150
10/18/21, 2821.53, 2855.92, 2821.389, 2855.56, 1019808
10/15/21, 2832.29, 2834.36, 2815.10, 2827.36, 1513722
10/14/21, 2789.476, 2826.745, 2776.50, 2823.02, 1596397
10/13/21, 2748.05, 2760.00, 2730.376, 2751.64, 983116
10/12/21, 2789.60, 2790.14, 2715.20, 2728.98, 1816612
10/11/21, 2785.84, 2814.24, 2777.18, 2778.28, 897681
10/08/21, 2791.54, 2806.621, 2784.35, 2795.71, 1326292
10/07/21, 2777.84, 2800.84, 2773.024, 2784.50, 1255507
10/06/21, 2695.00, 2755.00, 2691.00, 2751.30, 1218214
10/05/21, 2680.82, 2744.49, 2680.82, 2720.46, 1620163
10/04/21, 2719.21, 2719.21, 2621.00, 2673.19, 2560097
10/01/21, 2688.95, 2738.21, 2681.46, 2730.86, 1768009
09/30/21, 2685.23, 2710.85, 2671.12, 2673.52, 1901440
09/29/21, 2739.60, 2743.02, 2677.30, 2687.07, 1542435
09/28/21, 2773.10, 2781.93, 2707.20, 2716.60, 2288610
09/27/21, 2816.085, 2838.77, 2801.35, 2821.44, 1094098
09/24/21, 2810.77, 2846.605, 2804.82, 2844.30, 1149195
09/23/21, 2819.75, 2833.93, 2808.03, 2824.32, 1047550
09/22/21, 2786.08, 2817.74, 2771.03, 2805.67, 1252778
09/21/21, 2794.99, 2800.23, 2765.56, 2780.66, 1266595
09/20/21, 2763.23, 2780.00, 2726.435, 2774.39, 2325902
09/17/21, 2860.61, 2869.00, 2809.395, 2816.00, 2669223
09/16/21, 2879.01, 2886.00, 2848.03, 2872.20, 1309771
09/15/21, 2855.43, 2889.01, 2826.95, 2888.59, 1370379
09/14/21, 2859.905, 2867.26, 2835.00, 2850.89, 983693
09/13/21, 2838.99, 2859.00, 2825.00, 2846.65, 1104692
09/10/21, 2884.25, 2894.37, 2814.755, 2817.52, 1841967
09/09/21, 2876.81, 2886.21, 2863.55, 2870.82, 765855
09/08/21, 2882.00, 2888.00, 2860.00, 2873.82, 917511
09/07/21, 2876.69, 2891.30, 2872.38, 2885.61, 1006595
09/03/21, 2861.61, 2883.10, 2848.01, 2874.79, 992718
09/02/21, 2904.32, 2910.385, 2863.695, 2865.74, 1617907
09/01/21, 2900.00, 2925.075, 2897.67, 2904.31, 1096805
08/31/21, 2902.94, 2903.425, 2885.62, 2893.95, 1122438
08/30/21, 2888.00, 2919.41, 2883.26, 2891.81, 1221710
08/27/21, 2833.05, 2890.25, 2829.94, 2880.08, 1439010
08/26/21, 2835.00, 2848.35, 2827.14, 2828.81, 1030466
08/25/21, 2832.50, 2843.79, 2827.52, 2841.58, 792574
08/24/21, 2812.23, 2841.60, 2806.77, 2825.23, 963361
08/23/21, 2759.39, 2817.49, 2752.15, 2800.83, 1422670
08/20/21, 2720.00, 2751.08, 2705.00, 2748.59, 1559658
08/19/21, 2688.71, 2727.05, 2685.00, 2713.60, 1089127
08/18/21, 2730.00, 2742.085, 2706.43, 2708.98, 962947
08/17/21, 2755.00, 2765.31, 2721.64, 2733.23, 1085760
08/16/21, 2750.498, 2767.25, 2705.975, 2766.19, 1119918
08/13/21, 2745.00, 2757.13, 2740.66, 2754.55, 797372
08/12/21, 2719.51, 2746.00, 2708.51, 2743.88, 825943
08/11/21, 2743.63, 2753.645, 2725.43, 2725.58, 767600
08/10/21, 2746.84, 2755.446, 2727.29, 2736.14, 970704
08/09/21, 2718.85, 2743.68, 2706.785, 2738.26, 888300
08/06/21, 2720.84, 2729.45, 2704.20, 2714.77, 1024406
08/05/21, 2713.61, 2727.00, 2696.92, 2725.03, 893450
08/04/21, 2706.99, 2712.99, 2689.74, 2702.51, 983801
08/03/21, 2702.70, 2714.64, 2666.39, 2712.60, 1038094
08/02/21, 2702.34, 2706.73, 2675.883, 2697.09, 1081710
07/30/21, 2700.70, 2706.09, 2685.10, 2694.53, 1278789
07/29/21, 2723.00, 2733.22, 2710.86, 2715.55, 1585786
07/28/21, 2726.239, 2765.94, 2705.55, 2721.88, 4756530
07/27/21, 2685.01, 2687.98, 2602.08, 2638.00, 2735474
07/26/21, 2666.565, 2684.74, 2646.03, 2680.70, 1528574
07/23/21, 2608.61, 2667.98, 2596.01, 2660.30, 2075321
07/22/21, 2556.88, 2569.66, 2549.977, 2568.43, 715094
07/21/21, 2522.67, 2551.92, 2520.47, 2550.98, 1037309
07/20/21, 2510.55, 2540.864, 2487.01, 2524.19, 1315822
07/19/21, 2521.79, 2524.10, 2470.10, 2491.56, 1398379
07/16/21, 2553.26, 2556.23, 2523.07, 2539.40, 1021227
07/15/21, 2572.98, 2574.00, 2530.60, 2540.10, 1210940
07/14/21, 2559.16, 2586.527, 2558.289, 2564.74, 1187283
07/13/21, 2540.77, 2561.15, 2533.49, 2546.83, 962347
07/12/21, 2523.56, 2541.389, 2512.215, 2539.51, 883389
07/09/21, 2500.50, 2514.69, 2491.025, 2510.37, 931584
07/08/21, 2480.52, 2511.91, 2480.44, 2500.88, 1189467
07/07/21, 2543.24, 2545.68, 2523.06, 2529.48, 1202951
07/06/21, 2512.97, 2528.56, 2491.65, 2523.80, 1320179
07/02/21, 2463.00, 2508.08, 2461.19, 2505.15, 1300109
07/01/21, 2434.50, 2451.74, 2430.63, 2448.89, 905641
06/30/21, 2439.89, 2445.14, 2427.09, 2441.79, 1223699
06/29/21, 2453.407, 2460.415, 2433.815, 2445.45, 1155436
06/28/21, 2453.57, 2455.695, 2428.11, 2450.72, 1426271
06/25/21, 2440.00, 2452.66, 2431.305, 2450.17, 1729819
06/24/21, 2454.00, 2461.111, 2446.00, 2450.00, 1068257
06/23/21, 2441.87, 2461.91, 2436.69, 2442.54, 957708
06/22/21, 2435.00, 2448.00, 2421.28, 2446.61, 1119510
06/21/21, 2410.01, 2440.00, 2397.97, 2436.25, 1370683
06/18/21, 2427.34, 2432.06, 2400.30, 2402.22, 2305760
06/17/21, 2413.95, 2450.45, 2410.00, 2434.87, 1292444
06/16/21, 2431.44, 2437.72, 2389.40, 2415.45, 1323593
06/15/21, 2449.00, 2455.51, 2421.12, 2428.39, 1078107
06/14/21, 2432.26, 2448.92, 2418.00, 2448.91, 1104878
06/11/21, 2440.00, 2441.72, 2418.96, 2430.20, 1097907
06/10/21, 2406.92, 2436.00, 2403.78, 2435.13, 1295375
06/09/21, 2411.43, 2412.88, 2396.90, 2407.94, 897052
06/08/21, 2412.01, 2419.52, 2394.78, 2398.44, 1211992
06/07/21, 2389.436, 2404.51, 2381.00, 2402.30, 1205966
06/04/21, 2369.27, 2399.03, 2362.41, 2393.57, 1222910
06/03/21, 2345.73, 2357.015, 2329.52, 2347.58, 934796
06/02/21, 2389.15, 2393.64, 2352.355, 2370.59, 1058146
06/01/21, 2374.44, 2385.71, 2354.28, 2381.18, 1167901
05/28/21, 2374.42, 2376.07, 2352.85, 2356.85, 1074540
05/27/21, 2389.05, 2389.05, 2356.26, 2362.68, 1761201
05/26/21, 2366.52, 2388.99, 2366.462, 2380.31, 1078598
05/25/21, 2372.00, 2384.00, 2355.00, 2362.87, 1121982
05/24/21, 2314.89, 2365.55, 2311.955, 2361.04, 1591610
