Date,Open,High,Low,Close,Volume
03/30/22,141.9,142.12,139.91,140.54,8771027
03/29/22,143.35,143.595,140.24,141.18,11316500
03/28/22,140,140.97,137.895,140.87,10818080
03/25/22,141.09,143.18,140.8,141.92,8386416
03/24/22,140.3,140.71,139.11,140.69,10017630
03/23/22,140.98,141.585,139.1999,139.78,12093220
03/22/22,142.27,143.93,141.7202,142.62,13548590
03/21/22,140.35,140.76,138.7301,139.65,12676050
03/18/22,140.19,140.85,138.46,140.1,23656520
03/17/22,136.86,140.19,135.9205,140.15,17050449
03/16/22,134.87,138.49,134.43,138.4,20354900
03/15/22,131.8,133.55,131.13,132.48,15096600
03/14/22,129.46,132.92,129.23,130.17,15786900
03/11/22,132.485,134.08,128.4249,128.89,20061789
03/10/22,131.86,133.45,130.325,131.86,15604250
03/09/22,132.9,135.24,132.44,133.44,17536199
03/08/22,129.64,131.79,127.27,128.3,19207820
03/07/22,132.17,132.69,128.9513,129.21,27560051
03/04/22,134.94,135.42,132.4,134.4,21020680
03/03/22,139.84,140.98,137.06,138.29,16640801
03/02/22,137.29,140.04,136.6076,139.28,19405580
03/01/22,140.04,140.48,133.58,136.45,36840449
02/28/22,143.55,145.06,140.88,141.8,31315340
02/25/22,145.25,150.1269,144.91,147.97,18367680
02/24/22,142.94,144.99,139.78,144.55,25655100
02/23/22,153.12,153.3,147.97,148.69,11799030
02/22/22,150.6,153.24,150.41,151.87,11333480
02/18/22,152.13,154.14,151.13,152.14,11733320
02/17/22,153,153.73,150.665,151.43,11367460
02/16/22,153.74,156.1,153.74,155,9076526
02/15/22,154.51,155.94,153.85,154.72,9500867
02/14/22,152.73,153.68,150.3178,152.49,17026490
02/11/22,155.61,158.19,152.97,153.92,16830010
02/10/22,156.66,159.03,155.22,155.95,16455641
02/09/22,156.59,157.4305,155.82,156.6,9131135
02/08/22,155,158.48,154.8,155.95,20411391
02/07/22,153.27,153.62,150.85,153.07,12572280
02/04/22,149.1,153.5,148.7673,152.56,16654410
02/03/22,150,151.65,148.285,148.7,12474880
02/02/22,150.5,150.94,148.07,149.94,12441140
02/01/22,148.69,151.47,148.3,151.15,14584940
01/31/22,145.64,148.79,144.67,148.6,13985750
01/28/22,144.19,146.76,142.17,146.61,14116970
01/27/22,149.42,150.38,144.13,145.31,17544520
01/26/22,148.72,150.57,145.96,147.92,20709100
01/25/22,143.65,146.85,140.79,146.53,18915869
01/24/22,142.28,145.48,139.57,144.95,28503119
01/21/22,147.5,147.51,144.27,145.08,20705400
01/20/22,148.99,150.61,147.36,147.66,14860840
01/19/22,151.57,152.23,148.55,148.93,22380029
01/18/22,155.78,155.78,150.54,151.27,32348430
01/14/22,160.76,161.03,156.895,157.89,40158359
01/13/22,168.34,169.81,167.89,168.23,13623420
01/12/22,168.46,169.59,167.18,168.44,12568010
01/11/22,168.26,168.5246,166.31,167.49,11854120
01/10/22,169.07,169.31,165.53,167.32,12922460
01/07/22,165.665,167.53,165.06,167.16,13913350
01/06/22,166.91,167.37,163.87,165.52,14047500
01/05/22,167.82,168.3589,163.73,163.78,17539410
01/04/22,164.31,168.58,164.23,167.83,20195801
01/03/22,159.86,162.64,159.51,161.7,13128120
12/31/21,158.45,159.29,157.96,158.35,5805902
12/30/21,159.11,160.24,158.37,158.48,6948171
12/29/21,158.85,159.63,158.15,158.56,6398927
12/28/21,158.2,160.15,158.08,158.64,6342743
12/27/21,157.6,158.2,156.34,158.16,6189234
12/23/21,157.61,159.12,157.21,157.26,8055154
12/22/21,155.75,157.055,155.24,156.7,7272989
12/21/21,155.41,157.18,155.09,156.09,11291340
12/20/21,154.51,154.7,151.84,153.94,15147980
12/17/21,159.315,159.38,155.18,156.76,28138029
12/16/21,160.39,161.825,158.7,160.41,19542760
12/15/21,159.85,159.85,157.35,157.94,14014170
12/14/21,157.45,160.89,157.3,159.13,12563560
12/13/21,159.5,159.79,157.2846,157.92,12068990
12/10/21,161.32,161.702,159.13,159.82,10405370
12/09/21,159.65,160.93,158.65,160.46,11189640
12/08/21,162.66,163.27,160.17,160.71,11705670
12/07/21,161.88,163.39,161.16,162.57,9851554
12/06/21,161.01,162.61,159.46,160.16,11186490
12/03/21,161.5,161.829,157.19,158.29,12681770
12/02/21,159.83,163.25,158.8,161.21,12969930
12/01/21,161,163.27,157.8,157.89,12258690
11/30/21,159.155,160.63,158.29,158.83,18922619
11/29/21,163.31,164.78,159.817,161.23,12104370
11/26/21,162.14,162.65,158.82,161.93,13619280
11/24/21,168.46,169.44,166.44,166.96,9629790
11/23/21,165.5,168.555,165.37,168.28,12362340
11/22/21,164.16,165.98,162.99,164.35,14551670
11/19/21,161.3,162.11,159.45,160.92,12193630
11/18/21,164.39,164.85,162.56,163.05,8123567
11/17/21,165.21,165.56,163.39,164.47,9909576
11/16/21,167.06,167.07,165.12,165.36,9706145
11/15/21,167.21,167.785,166,166.56,6492463
11/12/21,167.65,167.74,165.72,166.86,8113441
11/11/21,167.52,168.68,166.9,167.61,5815267
11/10/21,167.45,168.95,167.09,167.62,6999214
11/09/21,167.35,168.47,166.595,167.78,7990283
11/08/21,169.05,170.92,168.74,169.06,6413707
11/05/21,168.9,170.09,167.41,168.05,7975570
11/04/21,170,170.2,166.4901,168.29,9574152
11/03/21,170.13,171.13,169.15,170.53,8402685
11/02/21,169.8,171.69,168.92,170.47,7173754
11/01/21,172.04,172.33,169.005,169.8,7435507
10/29/21,171.18,172.24,169.39,169.89,8140070
10/28/21,168.3,170.51,167.96,170.36,7212937
10/27/21,170.32,170.7,167.34,167.83,9846993
10/26/21,171,172.4902,170.54,171.4,8015067
10/25/21,172.71,172.96,170.48,170.94,10159200
10/22/21,170.03,172.09,169.7,171.78,8817895
10/21/21,170.755,171.3293,168.68,169.5,8415166
10/20/21,168.3,170.87,167.46,170.84,8185565
10/19/21,167.4,168.65,166.58,168.57,8053949
10/18/21,166.48,168.6084,165.91,166.55,12672910
10/15/21,165.35,167.17,164.14,166.61,14267440
10/14/21,161.75,164.01,160.06,163.47,15180730
10/13/21,164.07,165.41,160.6,161,22753490
10/12/21,165.75,166.6898,164.77,165.36,13032630
10/11/21,170.8,171.29,166.46,166.64,12154740
10/08/21,170.02,171.34,169.295,170.22,8190144
10/07/21,171.2,171.51,169.54,170.09,10195440
10/06/21,167.99,169.1,166,169.02,8692607
10/05/21,167.21,170.14,166.67,168.66,12292880
10/04/21,166.97,170.437,165.73,166.95,14120040
10/01/21,164,168.3,163.6,167.13,11284980
09/30/21,166.92,166.99,162.79,163.69,13168020
09/29/21,166.21,166.9,165.04,165.95,7777078
09/28/21,167.7,169.3,165.66,166.08,13387890
09/27/21,165,167.4,164.61,166.98,13220870
09/24/21,161.44,163.59,160.82,163.04,10102430
09/23/21,158,161.71,157.67,161.18,12336140
09/22/21,155.2,157.25,155.1,155.91,11236150
09/21/21,153.53,154.55,152.5774,152.98,8999860
09/20/21,153.89,154.56,150.49,152.96,15819910
09/17/21,157.38,159.01,157,157.68,25608020
09/16/21,159.41,160.855,157.22,158.09,10880900
09/15/21,156.72,158.69,156.47,158.16,11691490
09/14/21,160.45,161.34,156.26,157.07,11685610
09/13/21,158.53,160.05,158.07,159.86,10052810
09/10/21,160.56,160.7193,157.22,157.36,8311551
09/09/21,158.27,160.8325,158.08,159.19,7904256
09/08/21,158.89,159.58,158.04,158.5,7852678
09/07/21,159.99,161.3814,158.96,159.21,9290968
09/03/21,160.39,160.89,159.145,159.49,7961223
09/02/21,160.02,161.61,159.43,160.46,8815634
09/01/21,160.22,160.76,158.97,159.72,8729920
08/31/21,160.44,161.37,159.35,159.95,12340840
08/30/21,163.21,163.49,159.8801,160.44,7937561
08/27/21,161.75,163.16,161.26,163.05,8780185
08/26/21,162.26,163.83,161.15,161.75,11027450
08/25/21,158.51,161.78,157.8,160.92,11335040
08/24/21,157,158.55,156.87,157.67,7670925
08/23/21,155.33,157.09,155.24,156.7,7934587
08/20/21,154.35,154.9,153.16,154.72,6974102
08/19/21,153.16,155.56,153.01,154.28,9517737
08/18/21,156.31,158.01,155.34,155.58,8065493
08/17/21,157.57,158.86,155.27,157.01,9347213
08/16/21,158.94,159.03,156.78,158.93,8759767
08/13/21,161.79,162.16,159.57,159.98,8980903
08/12/21,161.88,162.37,160.5539,161.79,8849610
08/11/21,160,161.5,159.08,161.16,9156458
08/10/21,156.74,159.975,156.31,159.26,8666998
08/09/21,157.52,158.55,155.9,157.33,9516867
08/06/21,155.19,157.82,155.11,157.5,13328750
08/05/21,152.28,153.69,152.01,153.15,9151499
08/04/21,151.25,153.37,150.91,151.24,10154970
08/03/21,151.95,153.32,149.52,152.89,10394800
08/02/21,152.03,154.45,151.07,151.17,10203160
07/30/21,152.58,153.67,151.2,151.78,9805241
07/29/21,153.14,153.87,151.91,153,9063531
07/28/21,152.29,152.77,150.88,151.7,9217294
07/27/21,150.4,152.49,149.8,151.45,11218730
07/26/21,150.19,151.96,150.17,151.65,8207990
07/23/21,151.48,152.84,150.25,150.64,9666101
07/22/21,152.88,153.44,149.97,150.93,9913322
07/21/21,152.05,153.65,151.36,152.86,12356690
