Date, Open, High, Low, Close, Volume
03/30/22, 91.86, 91.94, 89.76, 90.27, 7289845
03/29/22, 93.39, 93.39, 91.05, 91.84, 7431647
03/28/22, 92.28, 92.30, 90.14, 91.27, 8680764
03/25/22, 92.48, 93.97, 91.985, 92.38, 6594357
03/24/22, 92.55, 93.10, 91.85, 92.13, 6488269
03/23/22, 93.41, 93.995, 91.89, 92.38, 7465355
03/22/22, 93.16, 94.60, 92.87, 94.22, 7565108
03/21/22, 94.72, 94.91, 92.21, 92.61, 8568682
03/18/22, 93.48, 94.90, 92.42, 94.82, 16325420
03/17/22, 90.20, 94.19, 89.915, 93.86, 15156780
03/16/22, 88.01, 92.35, 88.00, 91.76, 17635949
03/15/22, 85.45, 86.70, 84.58, 86.33, 8672396
03/14/22, 85.85, 86.71, 84.47, 84.72, 8280724
03/11/22, 87.12, 87.76, 85.08, 85.18, 8568086
03/10/22, 85.77, 87.80, 85.01, 85.86, 11351590
03/09/22, 86.24, 88.99, 86.10, 87.40, 12994620
03/08/22, 83.63, 85.75, 81.97, 83.31, 11641190
03/07/22, 85.03, 86.08, 83.42, 83.45, 12680870
03/04/22, 86.20, 86.90, 84.76, 86.36, 11961700
03/03/22, 89.68, 90.25, 87.07, 87.78, 12197080
03/02/22, 88.06, 89.28, 87.02, 88.38, 18007471
03/01/22, 90.00, 90.00, 86.49, 87.63, 18341820
02/28/22, 91.59, 92.22, 89.92, 90.74, 17955119
02/25/22, 92.07, 94.70, 91.63, 94.55, 9717430
02/24/22, 89.85, 92.175, 88.53, 91.81, 18517990
02/23/22, 95.695, 95.72, 93.0816, 93.55, 8722241
02/22/22, 94.68, 96.77, 93.90, 94.75, 9143683
02/18/22, 95.26, 96.04, 93.11, 95.42, 16321810
02/17/22, 100.02, 100.205, 95.89, 96.15, 15620310
02/16/22, 102.50, 103.04, 100.67, 101.15, 10190710
02/15/22, 103.52, 104.35, 102.12, 103.43, 6716339
02/14/22, 104.03, 104.50, 101.595, 102.57, 11110340
02/11/22, 107.00, 108.39, 103.82, 104.57, 9755922
02/10/22, 108.19, 109.73, 107.15, 107.57, 8116211
02/09/22, 106.93, 109.0836, 106.85, 108.73, 11054290
02/08/22, 105.97, 107.32, 105.32, 106.35, 9248978
